StreamID,CentroidX,CentroidY,Source,TreatmentName,BiomassUtilized,TreatmentStatus,FundedProjectName,TreatmentCategory,PendingStateReview,FederalGrantProgram,ActualCompletionDate,FederalFundingAmount,FederalGrantFiscalYear,TreatmentAcresReported,TreatmentIdentifierDatabase,LeveragedByIndirectFederalFunding
7347aae2-eb7b-4cdb-9c73-34188c0a4bb5,-18.2814828,16.02520031,California,Cressman FB,No,Completed,,N/A,0,0,,,,572,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
9c1bf2e8-553e-448f-b87d-3dc0d942bfc6,-19.92812372,16.59686212,California,Hobbs Road,No,Completed,,N/A,0,0,,,,23,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
a3c10b29-de28-402c-9cf3-25c089eb40f1,-14.38629186,25.14705863,Washington,,Yes,Completed,,Prescribed Burn,2,SFC - Mitigation,1.52117E+12,,2016,0,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
93ac4422-9b2c-4aa3-b4f8-e15e8ea8e970,-14.30008961,21.69590645,Idaho,,Yes,Completed,,Other,2,WRR,1.56316E+12,306.1992796,2018,0.39509584463957,683b8420-09e9-4315-b874-2eb8aab25889,0
aabe5282-cf0b-4f31-b718-f565e35890fc,-14.81629696,26.58682968,Washington,,No,Completed,,Planting,2,JCLR,1.66028E+12,235220,2019,380,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
3fde5b88-26dc-437f-a514-d5eec0940b88,1.012138776,7.851383534,Texas,,Yes,Completed,,Other,2,USFS SFC,,64168.6072,2019,208.339633755336,eb7ab6ac-2d66-41f4-bfba-5dbe666c38ce,0
75d56543-a368-465e-bddc-ae0ae7ce94ca,-15.06407307,26.53837581,Washington,,Yes,Completed,,Prescribed Burn,2,CB-HFR,1.66218E+12,,2018,23,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
f5835007-c2c8-409f-8e45-9f0c36f2ff90,-20.50262318,20.63917601,California,SOD - Mature 2,No,Completed,,N/A,0,0,,,,0,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
5e5c1fa2-4dfc-47a3-b944-3e685bb811d6,-20.51598518,16.75549517,California,Fuel Reduction,No,Completed,,N/A,0,0,,,,27,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
d6c4d68d-515f-47e0-b540-c03fedb1850a,-18.75166667,16.59146742,California,Old Toll Road,No,Completed,,N/A,0,0,,,,69,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
be6260b7-4545-4980-841c-37212e6ce3f3,-16.98788138,12.43815725,California,Point of Rocks,No,Completed,,N/A,0,0,,,,268,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
1da1da85-126f-44a6-93de-7e0dac8d87c7,-18.88776552,18.38899591,California,WNDCDCP 11,No,Completed,,N/A,0,0,,,,394,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
9c899d23-7c3f-4b59-a36e-ca00141217f5,-16.5639594,26.04255216,Washington,,No,Completed,,Other,2,CB-HFR,1.68067E+12,2880,2021,5,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
d9db1a25-d77b-4505-b94c-bff30c64d6c7,0.820552668,7.42048846,Texas,,No,Completed,,Other,2,JCLR,,6420.447026,2017,12.0912373374825,eb7ab6ac-2d66-41f4-bfba-5dbe666c38ce,0
a71fc867-5097-4e6c-8cd9-6fa72e1e5e6c,1.25928216,8.596760286,Texas,,No,Completed,,Other,2,HFR,1.57345E+12,,2022,55.6413069056844,eb7ab6ac-2d66-41f4-bfba-5dbe666c38ce,0
37d499a7-e7b3-41a9-b928-6ad5ff7d0a11,-19.19813351,19.81468895,California,01 - Pine Stands,No,Completed,,N/A,0,0,,,,928,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
c2166bb6-a526-4bde-b0e3-d0a06fcc3e9a,-19.01532162,18.00518211,California,2023 Broadcast-June,No,Completed,,N/A,0,0,,,,183,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
afebf4c4-7df3-4024-a4f1-c446b47e1686,-18.40021117,16.53331258,California,YNP Wawona Road,No,Completed,,N/A,0,0,,,,255,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
cdce724c-b47b-4345-9fdb-3b72f319772b,-14.27089881,25.95430419,Washington,,No,Completed,,Prescribed Burn,2,HFR,1.54736E+12,5436,2016,6,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
d5e5031b-e81c-44c7-9099-3a6e7fd0bc67,1.661365399,8.407328729,Texas,,Yes,Completed,,Other,2,Cross Boundary,1.63064E+12,14377.83531,2017,20.8072869932031,eb7ab6ac-2d66-41f4-bfba-5dbe666c38ce,0
